name,centroid_long,centroid_lat,fadaregion,name_2,mrgid
Polyacanthorhynchus kenyensis,37.175,0.116667,AT,Afrotropical,"48562"
Salifa perspicax,23.6427963555556,-28.1555615555556,AT,Afrotropical,"48562"
Atractides scutifer,31.3075,-25.83,AT,Afrotropical,"48562"
Potamonautes mulanjeensis,35.12971175,-16.396480625,AT,Afrotropical,"48562"
Parakneria vilhenae,20.833333,-7.35,AT,Afrotropical,"48562"
Haplochromis acidens,33.1992738461538,0.241739461538461,AT,Afrotropical,"48562"
Polypterus congicus,24.3646755689655,-4.63321943103448,AT,Afrotropical,"48562"
Amphilius caudosignatus,13.59598575,-1.516333,AT,Afrotropical,"48562"
Clarias theodorae,26.2168332923387,-16.4569066129032,AT,Afrotropical,"48562"
Chrysichthys aluuensis,6.23064121428572,5.20056064285714,AT,Afrotropical,"48562"
Mastacembelus robertsi,17.3888478,-1.6271382,AT,Afrotropical,"48562"
Protopterus amphibius,40.1001641666667,-4.02063291666667,AT,Afrotropical,"48562"
Lanistes bernardianus,15.635243,4.28045433333333,AT,Afrotropical,"48562"
Lanistes farleri,38.7703112,-5.559342,AT,Afrotropical,"48562"
Compsopogon caeruleus,67.2794159712919,-7.67544510526316,AT,Afrotropical,"48562"
Trichechus senegalensis,4.49003872916667,4.28777445833333,AT,Afrotropical,"48562"
Histiostoma feroniarum,11.3524297674419,19.3003282325581,AT,Afrotropical,"48562"
Cardioglossa oreas,10.109732,5.6819965,AT,Afrotropical,"48562"
Leptopelis aubryioides,13.18025,3.946,AT,Afrotropical,"48562"
Hyperolius hutsebauti,24.7573801666667,-1.06597316666667,AT,Afrotropical,"48562"
Mantella viridis,49.3337238181818,-12.6903308333333,AT,Afrotropical,"48562"
Mantidactylus opiparis,47.6985346784452,-21.1035519823322,AT,Afrotropical,"48562"
Burhinus vermiculatus,28.955634519423,-23.2946911253614,AT,Afrotropical,"48562"
Microparra capensis,28.9270928523161,-14.4517247501362,AT,Afrotropical,"48562"
Anastomus lamelligerus,30.2428173791579,-13.6649103447225,AT,Afrotropical,"48562"
Ciconia episcopus,58.8057723687523,3.11264878490619,AT,Afrotropical,"48562"
Ephippiorhynchus senegalensis,30.4990606922304,-16.5801451543127,AT,Afrotropical,"48562"
Leptoptilos crumeniferer,30.6463488873768,-19.2180366187625,AT,Afrotropical,"48562"
Mycteria ibis,30.3908727447154,-13.4960235660532,AT,Afrotropical,"48562"
Corythornis cristatus,26.337033981236,-19.5170111859101,AT,Afrotropical,"48562"
Sarothrura lugens,27.0770428846154,-9.92423519230769,AT,Afrotropical,"48562"
Sarothrura watersi,47.1622043265306,-16.919174122449,AT,Afrotropical,"48562"
Ardea humbloti,45.9776103377149,-18.5684337896866,AT,Afrotropical,"48562"
Ardeola idae,42.633388248538,-12.1226941047758,AT,Afrotropical,"48562"
Ardeola ralloides,21.3025407972073,18.4361863985808,AT,Afrotropical,"48562"
Butorides striata,18.0733177821711,-5.50538887351858,AT,Afrotropical,"48562"
Threskiornis aethiopicus,45.5480013673705,-8.05486433036166,AT,Afrotropical,"48562"
Tachybaptus pelzelnii,47.9966762,-18.0741658697143,AT,Afrotropical,"48562"
Crocodylus suchus,-9.61253879790026,13.6602926036745,AT,Afrotropical,"48562"
Marsilea ephippiocarpa,28.8215248055556,-23.00439675,AT,Afrotropical,"48562"
Limnodriloides macinnesi,-41.7871718571429,21.2997936666667,AT,Afrotropical,"48562"
Heptaceras quinquedens,20.4655980333333,-34.2693406,AT,Afrotropical,"48562"
Paradoridicola glabripes,48.016674,-13.6305696666667,AT,Afrotropical,"48562"
Sapphirina vorax,10.7788666666667,15.1878,AT,Afrotropical,"48562"
Paradactylopodia brevicornis,19.8568494761905,15.7167619047619,AT,Afrotropical,"48562"
Metis jousseaumei,35.850111875,1.679368375,AT,Afrotropical,"48562"
Emertonia diva,4.836675,-17.204175,AT,Afrotropical,"48562"
Paralicella tenuipes,40.0229783,22.4300066,AT,Afrotropical,"48562"
Paragrubia pilipes,60.1002866666667,-20.1505770833333,AT,Afrotropical,"48562"
Quadrivisio aviceps,19.3105156666667,-34.418581,AT,Afrotropical,"48562"
Vibilia viatrix,-8.41730188888889,-2.47865701234568,AT,Afrotropical,"48562"
Rochinia riversandersoni (current Samadinia riversandersoni),60.7047823333333,6.2757,AT,Afrotropical,"48562"
Cirolana incisicauda,22.9681,-33.966625,AT,Afrotropical,"48562"
Vanhoeffenura symmetrica,21.5044333333333,-32.4022,AT,Afrotropical,"48562"
Neognathophausia ingens,23.8427624501511,-11.8597185498489,AT,Afrotropical,"48562"
Urocythereis arcana,15.1948176923077,-26.7256153846154,AT,Afrotropical,"48562"
Xestoleberis africana,14.161714,-25.301617,AT,Afrotropical,"48562"
Anotopterus pharao,11.0232920142857,-13.7437600314286,AT,Afrotropical,"48562"
Riekertia ellisi,28.744444,-32.244444,AT,Afrotropical,"48562"
Lophotus capellei,24.5781547142857,4.52159282142857,AT,Afrotropical,"48562"
Leptochilichthys pinguis,-7.82988506666667,21.5130407333333,AT,Afrotropical,"48562"
Eviota pardalota,63.7742442222222,-2.79854766666667,AT,Afrotropical,"48562"
Sula dactylatra,-38.5078278570307,12.7402086463794,AT,Afrotropical,"48562"
Acroteriobatus leucospilus,32.2019982,-23.6335580857143,AT,Afrotropical,"48562"
Pyrosoma atlanticum,-27.1344616046348,7.8749896423221,AT,Afrotropical,"48562"
Dendrobrachia fallax,-14.45,-8.05,AT,Afrotropical,"48562"
Melithaea coccinea,51.7067687222222,-21.1336507222222,AT,Afrotropical,"48562"
Lovenella corrugata,10.139052,-7.005948,AT,Afrotropical,"48562"
Ceratocymba leuckartii,-10.1549127010309,9.04195322680412,AT,Afrotropical,"48562"
Tromikosoma uranus,14.010587,19.7335278181818,AT,Afrotropical,"48562"
Trachythyone fallax,-0.552142857142857,4.05714285714286,AT,Afrotropical,"48562"
Holothuria cyrielle,47.631702,-14.102168,AT,Afrotropical,"48562"
Coripia agulhasensis,25.9,-33.8166665,AT,Afrotropical,"48562"
Abralia heminuchalis,-4.7165,1.506,AT,Afrotropical,"48562"
Spirula spirula,67.6281280921866,-11.9661358695897,AT,Afrotropical,"48562"
Joculator gorini,46.5317864,-25.15129,AT,Afrotropical,"48562"
Imbricariopsis conovula,-34.4317406666667,-6.93774643137255,AT,Afrotropical,"48562"
Asteronotus cespitosus,67.9251321428571,-0.208750198757764,AT,Afrotropical,"48562"
Proteleia sollasi,23.3303202758621,-34.0992452758621,AT,Afrotropical,"48562"
Rhodochaete pulchella,23.7985508947368,17.021614,AT,Afrotropical,"48562"
Peyssonnelia conchicola,33.063453295082,10.7731047377049,AT,Afrotropical,"48562"
Neorhodella cyanea,53.3329714285714,8.88765714285714,AT,Afrotropical,"48562"
Glaucosphaera vacuolata,56.1638260869565,15.7223,AT,Afrotropical,"48562"
Haematopus moquini,20.9793989451368,-33.3259366112725,AT,Afrotropical,"48562"
Anous minutus,38.5763631224063,-2.77453419857677,AT,Afrotropical,"48562"
Onychoprion anaethetus,52.0862665897307,7.08840553014003,AT,Afrotropical,"48562"
Diomedea amsterdamensis,19.48447175,-27.8719855,AT,Afrotropical,"48562"
Hydrobates jabejabe,-24.2867490104167,16.36389715625,AT,Afrotropical,"48562"
Pterodroma baraui,55.5228780769996,-21.1498792868979,AT,Afrotropical,"48562"
Puffinus assimilis,59.2104637257109,7.8039056805391,AT,Afrotropical,"48562"
Puffinus bailloni,48.0373022209639,-19.7244451433735,AT,Afrotropical,"48562"
Eudyptes moseleyi,26.4191740643777,-37.7599887253219,AT,Afrotropical,"48562"
Spheniscus demersus,18.7053835124807,-33.6530469991427,AT,Afrotropical,"48562"
Microcarbo coronatus,18.1311650502903,-32.6574811759693,AT,Afrotropical,"48562"
Phalacrocorax nigrogularis,54.5572988291736,24.4707013778887,AT,Afrotropical,"48562"
Mediorhynchus wardi,19.7220145714286,4.82722885714286,AT,Afrotropical,"48562"
Proandricus entumeni,31.37688,-28.88204,AT,Afrotropical,"48562"
Neoscona moreli,-1.32606946486487,-17.7251473783784,AT,Afrotropical,"48562"
Menemerus congoensis,30.0592354285714,-3.95650635714286,AT,Afrotropical,"48562"
Tetranychus evansi,57.0840775842697,-13.2922458089888,AT,Afrotropical,"48562"
Ceratodesmus ansatus,38.183211875,-5.0884199375,AT,Afrotropical,"48562"
Sphaeromimus andohahela,46.924431,-24.988094,AT,Afrotropical,"48562"
Pachybolus arboreus,2.689439,4.55547233333333,AT,Afrotropical,"48562"
Orthoporoides pyrhocephalus,23.8254902352941,-31.817647,AT,Afrotropical,"48562"
Lorditomaeus opatroides,32.4492456666667,-11.5507573333333,AT,Afrotropical,"48562"
Graphipterus marginatus,25.5138891666667,-29.2305553333333,AT,Afrotropical,"48562"
Batrachorhina jejuna,32.96527725,-23.957237,AT,Afrotropical,"48562"
Exorhabdus mechowi,32.0883682432432,-7.16916521621622,AT,Afrotropical,"48562"
Allogymnopleurus chloris,32.7285788461538,-17.9916259230769,AT,Afrotropical,"48562"
Catharsius dubius,29.935,-19.9283332,AT,Afrotropical,"48562"
Milichus jugatus,34.2020088666667,-6.41526666666667,AT,Afrotropical,"48562"
Onitis perpunctatus,29.38361245,-27.6796638,AT,Afrotropical,"48562"
Demicryptochironomus cinereithorax,29.4483333333333,-28.795,AT,Afrotropical,"48562"
Diopsis phlogodes,32.697916625,-14.2958335,AT,Afrotropical,"48562"
Afroleptomydas inhacae,32.8344471794872,-26.8394982051282,AT,Afrotropical,"48562"
Sarcophaga par,34.1272252222222,-2.58051533333333,AT,Afrotropical,"48562"
Asarkina fiorii,32.9645518181818,-16.0087856363636,AT,Afrotropical,"48562"
Haematopota nigripennis,31.277083125,-18.68541675,AT,Afrotropical,"48562"
Dacus africanus,33.6551178571429,-18.3496892857143,AT,Afrotropical,"48562"
Dacus lounsburyii,28.7052446962025,-19.9443050253165,AT,Afrotropical,"48562"
Cloeon crassi,25.7940909090909,-32.7813636363636,AT,Afrotropical,"48562"
Petascelis remipes,31.3066571958763,-18.8536916185567,AT,Afrotropical,"48562"
Dinomachus marshalli,33.8231224,-16.1728716,AT,Afrotropical,"48562"
Graptostethus septus,27.99580568,-22.08848448,AT,Afrotropical,"48562"
Pameridea roridulae,19.1539323888889,-34.2715301666667,AT,Afrotropical,"48562"
Dieuches parallelus,36.5475022,-14.9162778,AT,Afrotropical,"48562"
Syntexix libocedrii,20.311501,4.32039233333333,AT,Afrotropical,"48562"
Tetramorium plesiarum,45.514554862069,-21.3434284137931,AT,Afrotropical,"48562"
Megachile chrysopogon,24.726127826087,-26.7379149130435,AT,Afrotropical,"48562"
Othinosmia jansei,23.1591994423077,-32.2938341346154,AT,Afrotropical,"48562"
Evagetes argenteodecoratus,26.1775010547945,-31.2203655205479,AT,Afrotropical,"48562"
Scelio chapmanni,16.50528,-3.1894,AT,Afrotropical,"48562"
Notarcha muscerdalis,27.64195,-25.9450166666667,AT,Afrotropical,"48562"
Chiromachla insulare,49.4712924,-20.1540615,AT,Afrotropical,"48562"
Cleora thyris,31.6134473636364,-1.84095327272727,AT,Afrotropical,"48562"
Azanus isis,15.3607051517857,3.07760475,AT,Afrotropical,"48562"
Lepidochrysops braueri,22.6157172142857,-33.8057375714286,AT,Afrotropical,"48562"
Pentila rogersi,38.6778079,-4.97343672307692,AT,Afrotropical,"48562"
Hemiempusa capensis,27.6547152325581,-27.9687388837209,AT,Afrotropical,"48562"
Hoplocorypha macra,26.9254234166667,-25.0702291666667,AT,Afrotropical,"48562"
Karoophasma biedouwense,18.94000025,-31.9025005,AT,Afrotropical,"48562"
Melambrotus simia,20.4841269285714,-29.3344047857143,AT,Afrotropical,"48562"
Coniopteryx caffer,31.3030558181818,-23.9915405454545,AT,Afrotropical,"48562"
Trithemis hartwigi,10.0818532,3.7634002,AT,Afrotropical,"48562"
Chlorolestes fasciatus,29.064731939759,-29.2480561566265,AT,Afrotropical,"48562"
Ornithacris cyanea,32.1030706507936,-17.100344047619,AT,Afrotropical,"48562"
Oecanthus capensis,21.2935791666667,-32.6876048055556,AT,Afrotropical,"48562"
Batrachotetrix pistrinarius,22.942857,-28.7976192857143,AT,Afrotropical,"48562"
Scirtothrips inermis,29.6444130992366,16.9723854656489,AT,Afrotropical,"48562"
Accipiter tachiro,29.3413235827755,-23.8636699400335,AT,Afrotropical,"48562"
Buteo oreophilus,34.8071653666424,-1.19369725472384,AT,Afrotropical,"48562"
Buteo rufofuscus,24.8706150500112,-31.2726647408769,AT,Afrotropical,"48562"
Clanga pomarina,31.0922713171089,17.7992709380981,AT,Afrotropical,"48562"
Gyps coprotheres,28.3375727532564,-27.0480947434449,AT,Afrotropical,"48562"
Kaupifalco monogrammicus,23.8431602300173,-9.18777935560625,AT,Afrotropical,"48562"
Milvus aegyptius,26.3444945921605,-22.0155506298386,AT,Afrotropical,"48562"
Polemaetus bellicosus,29.3075435319794,-18.3989790812669,AT,Afrotropical,"48562"
Bycanistes brevis,37.2718345110443,-1.86242445032959,AT,Afrotropical,"48562"
Bycanistes bucinator,31.2793762785826,-24.4337203790904,AT,Afrotropical,"48562"
Bycanistes cylindricus,14.4491440735164,3.14254675819309,AT,Afrotropical,"48562"
Bycanistes fistulator,6.26147162733085,3.9409518460309,AT,Afrotropical,"48562"
Ceratogymna elata,-4.90550316320475,6.22213539960435,AT,Afrotropical,"48562"
Horizocerus hartlaubi,15.9104266969697,2.88592665151515,AT,Afrotropical,"48562"
Lophoceros camurus,7.00388908157895,3.73284562631579,AT,Afrotropical,"48562"
Lophoceros fasciatus,2.27424723464862,5.73301979854094,AT,Afrotropical,"48562"
Lophoceros pallidirostris,29.9572928508064,-12.3185417429435,AT,Afrotropical,"48562"
Tockus flavirostris,37.8474199504207,1.14618142518029,AT,Afrotropical,"48562"
Bucorvus leadbeateri,31.3644409465919,-19.7682331647339,AT,Afrotropical,"48562"
Rhinopomastus cyanomelas,28.0755565593933,-23.2231458533916,AT,Afrotropical,"48562"
aprimulgus longipennis,9.32781578640777,7.30167866990291,AT,Afrotropical,"48562"
Caprimulgus batesi,16.6417771294118,0.338774211764706,AT,Afrotropical,"48562"
Caprimulgus fossii,30.4956319361384,-19.3026149243913,AT,Afrotropical,"48562"
Caprimulgus tristigma,26.5312954296795,-21.2703525042774,AT,Afrotropical,"48562"
Veles binotatus,-0.619369583586626,5.28948039209726,AT,Afrotropical,"48562"
Ciconia abdimii,29.8653720388262,-11.3798379268786,AT,Afrotropical,"48562"
Streptopelia vinacea,-0.230650647721924,10.5411798309143,AT,Afrotropical,"48562"
Atelornis crossleyi,47.7509084132653,-20.350367287415,AT,Afrotropical,"48562"
Uratelornis chimaera,43.6269930682853,-23.0980046828528,AT,Afrotropical,"48562"
Eurystomus glaucurus,24.2133423095725,-8.17034205437605,AT,Afrotropical,"48562"
Eurystomus gularis,9.09127824041411,3.64861527185583,AT,Afrotropical,"48562"
Merops albicollis,18.9591360984841,3.23470618690828,AT,Afrotropical,"48562"
Merops bulocki,8.29350246051333,8.09610587018756,AT,Afrotropical,"48562"
Merops superciliosus,42.1159351342803,-12.893322647822,AT,Afrotropical,"48562"
Clamator jacobinus,60.3989680152806,3.69593172342894,AT,Afrotropical,"48562"
Coua coquereli,45.8373943016032,-18.711621986974,AT,Afrotropical,"48562"
Coua verreauxi,43.7745074378531,-23.6705057288136,AT,Afrotropical,"48562"
Falco amurensis,44.5963250873051,-13.7937158628891,AT,Afrotropical,"48562"
Falco biarmicus,24.0058426591171,-13.9269206510738,AT,Afrotropical,"48562"
Falco concolor,40.5587229648045,-5.48273783575419,AT,Afrotropical,"48562"
Falco zoniventris,45.4455305088496,-20.6872265066372,AT,Afrotropical,"48562"
Afropavo congensis,7.35063413235294,4.17774195588235,AT,Afrotropical,"48562"
Peliperdix lathami,1.10950401230769,4.93956506615385,AT,Afrotropical,"48562"
Scleroptila gutturalis,26.6359551404374,-26.8171188491995,AT,Afrotropical,"48562"
Scleroptila psilolaemus,39.0882535840456,5.90269146438746,AT,Afrotropical,"48562"
Mesitornis unicolor,47.8173085327314,-20.3943624943567,AT,Afrotropical,"48562"
Corythaeola cristata,24.6443536203058,0.959111788459061,AT,Afrotropical,"48562"
Corythaixoides personatus,34.3086259635862,-1.664292072,AT,Afrotropical,"48562"
Crinifer piscator,-5.21285753234951,10.4678207568515,AT,Afrotropical,"48562"
Crinifer zonurus,32.6060357038201,1.15435809949226,AT,Afrotropical,"48562"
Criniferoides leucogaster,37.3177902303478,0.0897510274734,AT,Afrotropical,"48562"
Gallirex johnstoni,29.338931594152,-2.03098955555556,AT,Afrotropical,"48562"
Gallirex porphyreolophus,31.5496380781123,-25.7224598559081,AT,Afrotropical,"48562"
Musophaga violacea,-4.85684495233029,10.7741569979775,AT,Afrotropical,"48562"
Tauraco bannermani,10.3224903275862,6.04910738793103,AT,Afrotropical,"48562"
Tauraco corythaix,26.6366334785493,-31.767073776066,AT,Afrotropical,"48562"
Tauraco erythrolophus,8.85552107894737,-5.92139768421053,AT,Afrotropical,"48562"
Tauraco fischeri,39.4779806435644,-3.91885247220107,AT,Afrotropical,"48562"
Tauraco hartlaubi,36.7076748127674,-1.16746989667654,AT,Afrotropical,"48562"
Tauraco leucolophus,30.0580601272431,2.63582347389886,AT,Afrotropical,"48562"
Tauraco leucotis,37.4165571535088,8.8102809627193,AT,Afrotropical,"48562"
Tauraco livingstonii,33.1050598275924,-23.7986714126301,AT,Afrotropical,"48562"
Tauraco persa,-2.72466939041179,7.86296487099732,AT,Afrotropical,"48562"
Tauraco ruspolii,39.516458665625,5.7702500125,AT,Afrotropical,"48562"
Tauraco schalowi,29.3041502416467,-11.9459299052981,AT,Afrotropical,"48562"
Tauraco schuettii,30.0797520449257,-0.589637587265676,AT,Afrotropical,"48562"
Afrotis afra,20.2027497281944,-32.8502062495833,AT,Afrotropical,"48562"
Afrotis afraoides,25.1407916466355,-26.5228549809149,AT,Afrotropical,"48562"
Ardeotis arabs,25.638154351314,10.9493711369295,AT,Afrotropical,"48562"
Ardeotis kori,27.6259388977942,-16.9392646159405,AT,Afrotropical,"48562"
Eupodotis caerulescens,27.8478882498792,-28.448217759014,AT,Afrotropical,"48562"
Heterotetrax humilis,45.188604625,9.329784875,AT,Afrotropical,"48562"
Heterotetrax rueppellii,15.2556393935562,-22.6135090587173,AT,Afrotropical,"48562"
Heterotetrax vigorsii,21.9469114563492,-31.6548037843034,AT,Afrotropical,"48562"
Lissotis hartlaubii,37.1524666123077,-0.985593786923077,AT,Afrotropical,"48562"
Lophotis gindiana,37.9092871431546,0.0359029096824571,AT,Afrotropical,"48562"
Lophotis ruficrista,27.2688927977184,-23.7332685644375,AT,Afrotropical,"48562"
Lophotis savilei,-10.7478097242888,14.0103378271335,AT,Afrotropical,"48562"
Neotis heuglinii,38.4070793888889,2.1214775625,AT,Afrotropical,"48562"
Neotis ludwigii,21.1691537963696,-29.9878837870607,AT,Afrotropical,"48562"
Neotis nuba,13.0581887368421,17.1440859473684,AT,Afrotropical,"48562"
Myrmecocichla melaena,38.9095008348045,10.1750547868852,AT,Afrotropical,"48562"
Nectarinia kilimensis,34.2933531934301,-1.72402850491095,AT,Afrotropical,"48562"
Horizorhinus dohrni,7.39250559887006,1.61250134463277,AT,Afrotropical,"48562"
Zosterops kirki,43.3238703555556,-11.7070634222222,AT,Afrotropical,"48562"
Zosterops modestus,55.4777374864865,-4.63802553153153,AT,Afrotropical,"48562"
Lophotibis cristata,48.0318015237113,-17.891734485567,AT,Afrotropical,"48562"
Phoeniconaias minor,32.8570678026264,-10.7955691330071,AT,Afrotropical,"48562"
Phoenicopterus ruber,-26.8254090706891,7.11659708286474,AT,Afrotropical,"48562"
Indicator minor,28.2416473635211,-22.2911812580753,AT,Afrotropical,"48562"
Melichneutes robustus,2.67383596818182,3.75244087727273,AT,Afrotropical,"48562"
Dendropicos gabonensis,14.7782299285714,3.46899115178571,AT,Afrotropical,"48562"
Dendropicos goertae,14.0302419751138,5.85166563109743,AT,Afrotropical,"48562"
Verreauxia africana,6.45733565377532,4.2653047145488,AT,Afrotropical,"48562"
Lybius vieilloti,-1.6641204549395,10.6535942611522,AT,Afrotropical,"48562"
Pogoniulus pusillus,31.9011427821611,-21.9924983234083,AT,Afrotropical,"48562"
Stactolaema whytii,31.4545174938272,-17.6103069709877,AT,Afrotropical,"48562"
Agapornis lilianae,30.2436057129701,-13.7652636492709,AT,Afrotropical,"48562"
Pterocles bicinctus,26.883597833551,-22.2248979602044,AT,Afrotropical,"48562"
Pterocles burchelli,22.264494725614,-23.4930296101754,AT,Afrotropical,"48562"
Pterocles decoratus,37.1996396406973,-2.26695786179296,AT,Afrotropical,"48562"
Pterocles exustus,47.9415123352172,18.0466386844407,AT,Afrotropical,"48562"
Pterocles gutturalis,33.1864190105761,-7.8516963787921,AT,Afrotropical,"48562"
Pterocles lichtensteinii,48.3093605913092,21.3877299698445,AT,Afrotropical,"48562"
Pterocles namaqua,19.8448968201248,-27.0810971336342,AT,Afrotropical,"48562"
Pterocles personatus,44.514409924183,-23.1649974183007,AT,Afrotropical,"48562"
Pterocles quadricinctus,-2.69293774252199,11.5571033384164,AT,Afrotropical,"48562"
Asio capensis,26.8209135787901,-21.3290946041822,AT,Afrotropical,"48562"
Bubo lacteus,28.3116868198239,-13.8922197328404,AT,Afrotropical,"48562"
Otus capnodes,44.424124952381,-12.2685624761905,AT,Afrotropical,"48562"
Amblysomus corriae,23.0404006,-33.977883,AT,Afrotropical,"48562"
Amblysomus hottentotus,28.678877218543,-30.6020856291391,AT,Afrotropical,"48562"
Calcochloris leucorhinus,17.5844712909091,0.745975763636364,AT,Afrotropical,"48562"
Chrysochloris asiatica,19.1969463613445,-33.6102486722689,AT,Afrotropical,"48562"
Chrysochloris stuhlmanni,29.1357630588235,-0.786206254901961,AT,Afrotropical,"48562"
Eremitalpa granti,16.3532336829268,-27.4908379268293,AT,Afrotropical,"48562"
Geogale aurita,45.1600218109756,-23.6552096768293,AT,Afrotropical,"48562"
Hemicentetes nigriceps,47.1998955172414,-20.7382627586207,AT,Afrotropical,"48562"
Microgale brevicaudata,47.1952850384615,-16.1040443846154,AT,Afrotropical,"48562"
Microgale cowani,47.4560992135642,-20.4633026334776,AT,Afrotropical,"48562"
Microgale dryas,49.4110822564103,-15.5294160512821,AT,Afrotropical,"48562"
Microgale gymnorhyncha,47.61888355,-20.27497344,AT,Afrotropical,"48562"
Microgale monticola,49.6454117407407,-13.858476962963,AT,Afrotropical,"48562"
Microgale soricoides,47.9770524962406,-19.2402794962406,AT,Afrotropical,"48562"
Microgale taiva,47.4658193494424,-20.928483,AT,Afrotropical,"48562"
Microgale talazaci,48.5017277242798,-18.0541435061728,AT,Afrotropical,"48562"
Micropotamogale lamottei,-8.77599,7.12116,AT,Afrotropical,"48562"
Oryzorictes tetradactylus,47.1312396666667,-20.2861054166667,AT,Afrotropical,"48562"
Setifer setosus,46.9180774493927,-19.439497242915,AT,Afrotropical,"48562"
Cephalophus callipygus,16.7777281111111,1.01367005555556,AT,Afrotropical,"48562"
Cephalophus ogilbyi,7.63419417142857,1.45847002857143,AT,Afrotropical,"48562"
Connochaetes taurinus,26.4855070621926,-15.4196464767407,AT,Afrotropical,"48562"
Madoqua saltiana,46.703125,4.900396,AT,Afrotropical,"48562"
Neotragus pygmaeus,-5.43230638016529,5.9553372231405,AT,Afrotropical,"48562"
Raphicerus campestris,24.2928907767167,-23.0234220713961,AT,Afrotropical,"48562"
Syncerus caffer,21.8227884226447,-5.47115463368441,AT,Afrotropical,"48562"
Taurotragus oryx,26.1893384519056,-17.5002118566831,AT,Afrotropical,"48562"
Hyemoschus aquaticus,7.30832727358491,2.66386269811321,AT,Afrotropical,"48562"
Vulpes chama,19.4772365166667,-24.8399181611111,AT,Afrotropical,"48562"
Felis catus,48.8156398398568,22.4759402761408,AT,Afrotropical,"48562"
Bdeogale nigripes,20.4547471710526,1.22424197368421,AT,Afrotropical,"48562"
Dologale dybowskii,29.6189440833333,3.16303,AT,Afrotropical,"48562"
Genetta pardina,-2.45573037209302,7.76462353488372,AT,Afrotropical,"48562"
Hipposideros jonesi,-4.23489267326733,9.64781244554455,AT,Afrotropical,"48562"
Mops niveiventer,28.4715204918033,-12.0164640983607,AT,Afrotropical,"48562"
Otomops madagascariensis,44.9474255573771,-20.6112754508197,AT,Afrotropical,"48562"
Pteropus livingstonii,44.2458774634146,-12.2650814796748,AT,Afrotropical,"48562"
Myotis welwitschii,31.0190028613861,-6.21746956435644,AT,Afrotropical,"48562"
Atelerix albiventris,7.05913385578748,13.8313728500949,AT,Afrotropical,"48562"
Atelerix frontalis,24.8914686451613,-22.9622545,AT,Afrotropical,"48562"
Dendrohyrax arboreus,31.8022076597222,-3.4052761712963,AT,Afrotropical,"48562"
Dendrohyrax dorsalis,10.3294969931507,3.62437799315068,AT,Afrotropical,"48562"
Heterohyrax brucei,33.118982452862,-5.57578357239057,AT,Afrotropical,"48562"
Procavia capensis,24.2312095586348,-13.8616824720346,AT,Afrotropical,"48562"
Lepus saxatilis,15.8185100086083,-13.2978857517934,AT,Afrotropical,"48562"
Poelagus marjorita,29.1791392755102,2.91306242857143,AT,Afrotropical,"48562"
Pronolagus randensis,23.2489451515152,-24.1574362727273,AT,Afrotropical,"48562"
Elephantulus brachyrhynchus,27.983975495098,-15.9561139313725,AT,Afrotropical,"48562"
Elephantulus edwardii,20.1764705701585,-32.4029632566526,AT,Afrotropical,"48562"
Elephantulus fuscipes,29.3102770588235,3.44680958823529,AT,Afrotropical,"48562"
Elephantulus fuscus,33.8334183636364,-15.8197993636364,AT,Afrotropical,"48562"
Elephantulus intufi,18.5898240617978,-20.726657,AT,Afrotropical,"48562"
Elephantulus myurus,26.7629351491713,-27.736339281768,AT,Afrotropical,"48562"
Elephantulus revoili,43.2403744,11.0824624,AT,Afrotropical,"48562"
Elephantulus rufescens,36.4045138787879,-2.66591788744589,AT,Afrotropical,"48562"
Elephantulus rupestris,19.4606689649123,-26.5538303894737,AT,Afrotropical,"48562"
Macroscelides proboscideus,18.9101247540523,-24.2162834097519,AT,Afrotropical,"48562"
Petrodromus tetradactylus,34.0210321003236,-10.5400831067961,AT,Afrotropical,"48562"
Rhynchocyon chrysopygus,39.9319950560748,-3.22505853271028,AT,Afrotropical,"48562"
Rhynchocyon cirnei,31.9291067727273,-6.00891789393939,AT,Afrotropical,"48562"
Rhynchocyon petersi,37.1770000759494,-5.41589886075949,AT,Afrotropical,"48562"
Equus caballus,-4.81553870819259,-9.33055941248325,AT,Afrotropical,"48562"
Equus zebra,18.268746148415,-29.4291049582133,AT,Afrotropical,"48562"
Dicerorhinus sumatrensis,60.8030584444444,11.4322703333333,AT,Afrotropical,"48562"
Diceros bicornis,9.99424306562382,-5.69966984896514,AT,Afrotropical,"48562"
Cercopithecus roloway,-4.49944337837838,6.41104832432432,AT,Afrotropical,"48562"
Piliocolobus tephrosceles,30.2872938539326,-0.486994382022472,AT,Afrotropical,"48562"
Paragalago zanzibaricus,37.8533139354839,-11.0283053548387,AT,Afrotropical,"48562"
Gorilla gorilla,-13.654500252589,12.7904930695151,AT,Afrotropical,"48562"
Avahi ramanantsoavana,47.7237330232558,-23.0291152093023,AT,Afrotropical,"48562"
Lepilemur hubbardorum,44.7066339782609,-22.8910962173913,AT,Afrotropical,"48562"
Lepilemur seali,49.4497726363636,-15.3171566363636,AT,Afrotropical,"48562"
Loxodonta africana,25.4171571292876,-9.57428655604417,AT,Afrotropical,"48562"
Acomys selousi,32.9417121764706,-16.1490620588235,AT,Afrotropical,"48562"
Arvicanthis abyssinicus,35.9691376820027,6.69807795805142,AT,Afrotropical,"48562"
Lophuromys machangui,34.3546576107383,-9.68249863758389,AT,Afrotropical,"48562"
